Tribunal;Grau;Nome_Orgao;UF;Municipio;Ano;Mes;Processo;Codigos_classes;Codigo_da_Ultima_classe;Nome_da_Ultima_classe;Codigos_assuntos;Data_de_Referencia;Data_do_julgamento:_Situacao:_Movimento;Data_da_decisao:_Situacao:_Movimento;Formato;Procedimento;Recurso;Codigo_Orgao;id_municipio;Polo_ativo;Polo_ativo_-_CNPJ;Polo_ativo_-_Natureza_juridica;Polo_ativo_-_CNAE;Polo_passivo;Polo_passivo_-_CNPJ;Polo_passivo_-_Natureza_juridica;Polo_passivo_-_CNAE;Poder_publico
TJMA;G1;1ª VARA DE SANTA INÊS;MA;SANTA INES;2025;6;0800632-68.2020.8.10.0056;{49};49;USUCAPIÃO;{10458};2025-06-02;{20250602:28:458};{20240402:17:12164,20240229:17:941};Eletrônico;Conhecimento não criminal;0;3120;4349;;;;;;;;;
TJMA;G1;1ª VARA DE SANTA INÊS;MA;SANTA INES;2025;1;0803643-03.2023.8.10.0056;{49};49;USUCAPIÃO;{10458};2025-01-07;{20250107:28:454};{20241001:17:15085,20240726:17:941};Eletrônico;Conhecimento não criminal;0;3120;4349;;;;;;;;;
TJMA;G1;1ª VARA DE SANTA INÊS;MA;SANTA INES;2024;2;0802258-54.2022.8.10.0056;{49,156};49;USUCAPIÃO;{10458};2024-02-23;{20240223:27:219};{};Eletrônico;Conhecimento não criminal;0;3120;4349;;;;;;;;;
TJMA;G1;2ª VARA DE SANTA INÊS;MA;SANTA INES;2024;9;0001919-12.2014.8.10.0056;{49};49;USUCAPIÃO;{10457};2024-09-19;{20150312:28:454,20240919:28:458};{};Eletrônico;Conhecimento não criminal;0;3121;4349;;;;;;;;;
TJMA;G1;2ª VARA DE SANTA INÊS;MA;SANTA INES;2024;2;0000046-06.2016.8.10.0056;{49,156};49;USUCAPIÃO;{10459};2024-02-05;{20240205:27:219};{20180605:46:268,20220204:17:12164,20220620:17:12387};Eletrônico;Conhecimento não criminal;0;3121;4349;;;;;{ROCHEDO ASSESSORIA IMOBILIARIA LTDA};{02473569000108};{SOCIEDADE EMPRESARIA LIMITADA};{COMPRA E VENDA DE IMOVEIS PROPRIOS};
TJMA;G1;2ª VARA DE SANTA INÊS;MA;SANTA INES;2025;2;0802008-60.2018.8.10.0056;{49};49;USUCAPIÃO;{10500,10459};2025-02-13;{20250213:27:219};{20230831:17:12307,20240229:17:15085,20240805:17:12164};Eletrônico;Conhecimento não criminal;0;3121;4349;;;;;;;;;
TJMA;G1;2ª VARA DE SANTA INÊS;MA;SANTA INES;2024;4;0800610-44.2019.8.10.0056;{49};49;USUCAPIÃO;{10458};2024-04-01;{20240401:27:220};{20210805:17:12164,20220223:17:12164};Eletrônico;Conhecimento não criminal;0;3121;4349;;;;;;;;;
TJMA;G1;2ª VARA DE SANTA INÊS;MA;SANTA INES;2025;2;0804409-22.2024.8.10.0056;{49};49;USUCAPIÃO;{10458};2025-02-06;{20250206:28:454};{20241010:17:15085,20250703:17:12164};Eletrônico;Conhecimento não criminal;0;3121;4349;;;;;;;;;
TJMA;G1;2ª VARA DE SANTA INÊS;MA;SANTA INES;2024;8;0801510-27.2019.8.10.0056;{49};49;USUCAPIÃO;{10500,10459};2024-08-01;{20240801:27:219};{20190807:17:12164,20210505:17:12164,20231218:17:12307};Eletrônico;Conhecimento não criminal;0;3121;4349;;;;;;;;;
TJMA;G1;2ª VARA DE SANTA INÊS;MA;SANTA INES;2025;4;0801424-56.2019.8.10.0056;{49};49;USUCAPIÃO;{10464};2025-04-28;{20250428:27:219};{20190731:17:12164,20240730:17:12164,20240918:17:12387,20241128:17:12164};Eletrônico;Conhecimento não criminal;0;3121;4349;{E DE S E SILVA LTDA};{01139686000169};{SOCIEDADE EMPRESARIA LIMITADA};{SERVICOS DE ALINHAMENTO E BALANCEAMENTO DE VEICULOS AUTOMOTORES};;;;;
TJMA;G1;2ª VARA DE SANTA INÊS;MA;SANTA INES;2025;3;0001192-19.2015.8.10.0056;{49};49;USUCAPIÃO;{10458};2025-03-12;{20250312:27:220};{20181119:17:12164,20201231:46:898,20220629:17:12387,20240507:17:12164,20190115:17:961};Eletrônico;Conhecimento não criminal;0;3121;4349;;;;;;;;;
TJMA;G1;2ª VARA DE SANTA INÊS;MA;SANTA INES;2024;10;0802104-02.2023.8.10.0056;{49};49;USUCAPIÃO;{10458};2024-10-09;{20241009:28:454};{20230728:17:15085,20240110:17:941,20240215:33:332,20240828:17:15085};Eletrônico;Conhecimento não criminal;0;3121;4349;;;;;;;;;
TJMA;G1;3ª VARA DE SANTA INÊS;MA;SANTA INES;2024;10;sigiloso(612226621);{49};49;USUCAPIÃO;{7661,7898};2024-10-09;{20241009:28:458};{20210414:17:12164};Eletrônico;Conhecimento não criminal;0;3122;4349;Sigiloso;Sigiloso;Sigiloso;Sigiloso;Sigiloso;Sigiloso;Sigiloso;;
TJMA;G1;1ª VARA C�?VEL DE SÃO JOSÉ DE RIBAMAR;MA;SAO JOSE DE RIBAMAR;2024;8;0804456-97.2018.8.10.0058;{49};49;USUCAPIÃO;{10500};2024-08-27;{20240827:28:458};{};Eletrônico;Conhecimento não criminal;0;3133;4702;;;;;;;;;
TJMA;G1;1ª VARA C�?VEL DE SÃO JOSÉ DE RIBAMAR;MA;SAO JOSE DE RIBAMAR;2024;12;0806458-30.2024.8.10.0058;{49};49;USUCAPIÃO;{10458,10459};2024-12-22;{20241222:28:454};{20241114:17:15085};Eletrônico;Conhecimento não criminal;0;3133;4702;;;;;;;;;
TJMA;G1;1ª VARA C�?VEL DE SÃO JOSÉ DE RIBAMAR;MA;SAO JOSE DE RIBAMAR;2024;9;0803495-93.2017.8.10.0058;{49};49;USUCAPIÃO;{10457};2024-09-30;{20240930:28:458};{20240716:17:12164};Eletrônico;Conhecimento não criminal;0;3133;4702;;;;;;;;;
TJMA;G1;1ª VARA C�?VEL DE SÃO JOSÉ DE RIBAMAR;MA;SAO JOSE DE RIBAMAR;2024;10;0803503-26.2024.8.10.0058;{49};49;USUCAPIÃO;{10459};2024-10-02;{20241002:28:454};{20240618:17:15085,20240822:30:15103,20240822:31:334};Eletrônico;Conhecimento não criminal;0;3133;4702;;;;;{IMOBILIARIA SANTANA LTDA,ARACAGY ADMINISTRACOES E VENDAS LTDA};{06661656000131,11103710000163};{SOCIEDADE EMPRESARIA LIMITADA,SOCIEDADE EMPRESARIA LIMITADA};{CONSTRUCAO DE EDIFICIOS,CORRETAGEM NO ALUGUEL DE IMOVEIS};
TJMA;G1;1ª VARA C�?VEL DE SÃO JOSÉ DE RIBAMAR;MA;SAO JOSE DE RIBAMAR;2025;8;0803731-64.2025.8.10.0058;{49};49;USUCAPIÃO;{10457,10447};2025-08-31;{20250831:28:454};{20250731:17:15085};Eletrônico;Conhecimento não criminal;0;3133;4702;;;;;;;;;
TJMA;G1;1ª VARA C�?VEL DE SÃO JOSÉ DE RIBAMAR;MA;SAO JOSE DE RIBAMAR;2025;9;0800692-74.2016.8.10.0058;{49};49;USUCAPIÃO;{10458};2025-09-30;{20250930:27:219};{};Eletrônico;Conhecimento não criminal;0;3133;4702;;;;;;;;;
TJMA;G1;1ª VARA C�?VEL DE SÃO JOSÉ DE RIBAMAR;MA;SAO JOSE DE RIBAMAR;2025;8;0803851-10.2025.8.10.0058;{49};49;USUCAPIÃO;{10447};2025-08-28;{20250828:28:458};{20250718:17:15085,20250731:17:15085,20250731:30:787};Eletrônico;Conhecimento não criminal;0;3133;4702;;;;;;;;;
